,1,2
149,Hyperhidrosis,"pregnancy,anxiety,obesity,being drunk or ""high"" on drugs, or withdrawing from alcohol or drugs if you have become addicted to them"
150,Hypoglycaemia (low blood sugar),"feeling hungry,sweating,dizziness,tiredness (fatigue),blurred vision,trembling or shakiness,going pale,tingling lips,irritability,difficulty concentrating,confusion,disorderly or irrational behaviour, which may be mistaken for drunkenness,feeling unusually tired in the morning,damp sheets or clothing from sweating"
151,Idiopathic pulmonary fibrosis,"tiredness,loss of appetite and weight loss,influenza (flu),worsening breathlessness,chest pain,a high temperature (fever) of 38C (100.4F) or above ,sweating and shivering,dizziness,feeling faint,chest pain (angina),a racing heartbeat (tachycardia),worsening breathlessness,extreme tiredness and weakness,swelling in the legs, ankles and feet (oedema) caused by a build-up of fluid"
152,Indigestion,"feeling uncomfortably full or heavy,bringing food or fluid back up from your stomach (reflux),bloating,feeling sick (nausea),vomiting,you are 55 years old or over,you have lost a lot of weight without meaning to,you have persistent vomiting,you have a lump in your stomach,you have blood in your vomit or blood in your stools"
153,Ingrown toenail,"pain if pressure is placed on the toe,inflammation of the skin at the end of the toe,a build-up of fluid (oedema) in the area surrounding the toe,an overgrowth of skin around the affected toe (hypertrophy),bleeding,white or yellow pus coming from the affected area,badly cut toenails – cutting your toenails too short, or cutting the edges, will encourage the skin to fold over your nail and the nail to grow into the skin,wearing tight-fitting shoes, socks or tights – this places pressure on the skin around your toenail; the skin may be pierced if it's pressed on to your toenail,sweaty feet – if the skin around your toenails is soft, it's easier for your nail to pierce it and embed itself within it,injury – for example, stubbing your toe can sometimes cause an ingrown toenail to develop,natural shape of the nail – the sides of curved or fan-shaped toenails are more likely to press into the skin surrounding the nail,keep your feet clean by washing them regularly with soap and water,change your socks regularly,cut your toenails straight across to stop them digging into the surrounding skin,gently push the skin away from the nail using a cotton bud (this may be easier after using a small amount of olive oil to soften the skin),wear comfortable shoes that fit properly"
154,Inherited heart conditions,"palpitations,fainting or blackouts (also known as syncope or ""near"" faint),Long QT syndrome (LQTS),Brugada syndrome,Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT),Short QT Syndrome (SQTS),changes to your lifestyle,Aberdeen - phone 01224 552120,Dundee - phone 01382 632330,Edinburgh - phone 0131 537 1116,Glasgow - phone 0141 354 9235,specialist cardiologists,geneticists,specialist nursing,genetic counselling,heart specialists,geneticists,genetic counsellors,pathologists,specialist nurses,public representatives,other experts"
155,Insomnia,"long-term pain,steroid medication,non-steroidal anti-inflammatory drugs (NSAIDs),some medicines used to treat asthma, such as salbutamol, salmeterol and theophylline"
156,Iron deficiency anaemia,"oesophagitis – inflammation of the gullet (oesophagus) caused by stomach acid leaking through it,schistosomiasis – an infection caused by parasites, mainly found in sub-Saharan Africa,blood donation – donating a large amount of blood may lead to anaemia,trauma – a serious accident, such as a car crash, may cause you to lose a large amount of blood ,haematuria (blood in your urine) – but this rarely causes anaemia and may be a symptom of another condition,beans,nuts,dried fruit, such as dried apricots,wholegrains, such as brown rice,fortified breakfast cereals,soybean flour,most dark-green leafy vegetables, such as watercress and curly kale"
157,Irritable bowel syndrome (IBS),"bloating and swelling of your stomach,occasionally experiencing an urgent need to go to the toilet,a feeling that you haven't fully emptied your bowels after going to the toilet ,passing mucus from your bottom ,a lack of energy (lethargy),feeling sick,backache,bladder problems - such as needing to wake up to urinate at night, experiencing an urgent need to urinate and difficulty fully emptying the bladder,pain during sex (dyspareunia),incontinence,you think you have IBS symptoms, so they can try to identify the cause - they can often do this by asking about your symptoms, although further tests are occasionally needed to rule out other conditions,you're feeling anxious or depressed - these problems rarely improve without treatment and could make your IBS symptoms worse,unexplained weight loss,a swelling or lump in your stomach or bottom,bleeding from your bottom,signs of anaemia"
158,Irritable hip,"pain in the knee or thigh,restricted movement in one of the hip joints,a slightly higher temperature than normal – a normal temperature is around 37C (98.6F)"
159,Itching,"dry skin,contact dermatitis – inflammation of the skin that occurs when you come into contact with an irritant or allergen (see below),dandruff –  a common skin condition that causes dry white or grey flakes of dead skin to appear in the scalp or hair,folliculitis – a skin condition caused by inflamed hair follicles,prurigo – small blisters (fluid-filled swellings) that are very itchy  ,cosmetic ingredients, such as preservatives, fragrances, hair dye and nail varnish hardeners,certain metals, such as nickel or cobalt in jewellery,rubber – including latex,textiles – particularly the dyes and resins that are contained in them,some plants – such as chrysanthemums, sunflowers, daffodils, tulips and primula,prickly heat – an itchy rash that appears in hot, humid weather conditions,athlete's foot – a fungal infection that causes itching in between the toes,iron deficiency anaemia – where a lack of iron in the body leads to a reduction in the number of red blood cells,polycythaemia – where you have a high concentration of red blood cells in your blood,long standing kidney failure,pruritic urticarial papules and plaques of pregnancy (PUPPP) – a common skin condition that causes itchy, red, raised bumps that appear on the thighs and abdomen (tummy),prurigo gestationis – a skin rash that appears as red, itchy dots and mainly affects the arms, legs and torso,obstetric cholestasis – a rare disorder that affects the liver during pregnancy and causes itching without a rash"
160,Itchy bottom,"bacterial – such as the streptococcal bacteria that causes streptococcal infections, or the staphylococcal bacteria that causes staphylococcal infections,anal fistula – where a small channel (tract) develops between your anal canal (the last section of the large intestine) and the surface of your skin, near the anus,anal fissure – a tear or ulcer (open sore) that develops in the lining of the anal canal,contact dermatitis – where your skin reacts to certain substances (allergens), causing it to become inflamed,lichen sclerosus – a long-term skin disorder that causes itchy or sore white spots to develop on the skin around the genitals,atopic eczema – where your skin becomes dry, red and flaky,iron deficiency anaemia – a decrease in the number of red, oxygen-carrying blood cells, causing tiredness and a lack of energy (lethargy) ,peppermint oil – which is sometimes used to help relieve stomach cramps,rectal bleeding,pain,itching,small lumps that develop around the anus,bleeding from the back passage,blood in your stools,a change in your normal bowel habits, such as diarrhoea that lasts longer than 4 to 6 weeks"
161,Kaposi's sarcoma,"an HIV test – a blood test to confirm whether or not you have HIV (if you haven't already been diagnosed with the condition),an endoscopy – where a thin, flexible tube called an endoscope is passed down your throat to see if your lungs or digestive system are affected"
162,Kidney cancer,"blood in your urine (haematuria) – the amount of blood is usually high enough to change the colour of your urine to a reddish or dark brown colour,a persistent pain in your side, just below the ribs,a lump or swelling in the area of your kidneys (on either side of the body),unintentional weight loss,a high temperature of 38C (100.4F) or above,night sweats ,a general sense of feeling unwell,swelling of the veins in the testicles (in men),loss of appetite,high blood pressure (hypertension)"
163,Kidney infection,"pain and discomfort in your side, lower back or around your genitals,high temperature (it may reach 39.5C or 103.1F),shivering or chills,feeling very weak or tired,loss of appetite,feeling sick or being sick ,diarrhoea,pain or a burning sensation during urination,need to urinate frequently or urgently,feeling that you're unable to urinate fully,blood in your urine,cloudy or foul smelling urine,pain in your lower abdomen,a lack of energy,irritability,poor feeding and/or vomiting,not growing at the expected rate,abdominal pain,jaundice (yellowing of the skin and whites of the eyes),blood in the urine,unpleasant smelling urine,bedwetting"
164,Kidney stones,"gets stuck in your kidney,starts to travel down the ureter (the tube that attaches each kidney to the bladder) – the ureter is narrow and kidney stones can cause pain as they try to pass through,causes an infection,a persistent ache in the lower back, which is sometimes also felt in the groin – men may have pain in their testicles and scrotum,periods of intense pain in the back or side of your abdomen, or occasionally in your groin, which may last for minutes or hours,feeling restless and unable to lie still,nausea (feeling sick),needing to urinate more often than normal,pain when you urinate (dysuria),blood in your urine (haematuria) – this may be caused by the stone scratching the kidney or ureter,a high temperature (fever) of 38C (100.4F) or over,chills and shivering,feeling very weak or tired,diarrhoea,cloudy and bad-smelling urine"
165,Langerhans cell histiocytosis,"macrophage/monocyte cells - these destroy harmful proteins, viruses and bacteria in the body,dendritic cells - these stimulate the immune system,single-system LCH - when the disease affects only one part of the body, for example the skin or the bone,multi-system LCH - when it affects more than one part of the body"
166,Laryngeal (larynx) cancer,"asbestos,coal or wood dust,paint or diesel fumes,nickel,sulphuric acid fumes,formaldehyde (a chemical used in a wide range of industrial processes, such as paint manufacturing and cosmetics),isopropyl alcohol (often used as a cleaning solvent)"
167,Laryngitis,"direct trauma to the larynx – such as a blow to your throat, an accident or a sports injury,prolonged coughing,persistent and frequent clearing of your throat"
168,Leg cramps,"The cramps last longer than 10 minutes and fail to improve, despite exercise.,Cramps develop after you come into contact with substances that could be toxic (poisonous) or infectious, for example, if you have a cut that is contaminated with soil, which can sometimes cause a bacterial infection, such as tetanus, or after being exposed to elements such as mercury or lead."
169,Lichen planus,"skin,mouth,penis,vulva (external female sex organs) and vagina,purple-red coloured bumps (papules) that are slightly raised, shiny and have a flat top. The papules usually measure 3-5mm in diameter and may also have irregular white streaks (Wickham's striae),thicker scaly patches can appear, usually around the ankles – this is known as hypertrophic lichen planus,itchy skin,a white pattern on the tongue and inner cheeks,red and white patches in the mouth,burning and discomfort in the mouth while eating or drinking,painful red gums,purple or white ring-shaped patches on the tip of the penis (glans),bumps (papules) that are flat-topped and shiny,a non-itchy rash,soreness, burning and rawness around the vulva,the vulva may be covered in white streaks and be a red, pink or pale white colour,if the vagina is affected, sexual intercourse can be painful,if the outer layers of skin break down, moist, red patches can form,scar tissue can form, which distorts the shape of the vagina,a sticky yellow or green discharge, which may be bloodstained,the opening of the vagina can become narrowed,the nails – which can become thinner, ridged and grooved, or they may become darker, thicker or raised; they may sometimes shed or stop growing,the scalp – red patches can appear around clusters of hair; in some cases, permanent hair loss can occur"
170,Liver disease,"fighting infections and illness,controlling cholesterol levels,helping blood to clot (thicken),releasing bile, a liquid that breaks down fats and aids digestion,Hepatitis – which is inflammation (swelling) of the liver caused by a viral infection or exposure to harmful substances such as alcohol ,Haemochromatosis – an inherited disorder where there's a gradual build-up of iron in the body, usually around the liver,Primary biliary cirrhosis – a rare, long-term type of liver disease that damages the bile ducts in the liver,undiagnosed hepatitis infection,take the appropriate measures to prevent getting hepatitis, such as getting vaccinated if you're at risk"
171,Liver tumours,"feeling sick (nausea) and being sick (vomiting),hair loss,an increased risk of infection,bruising and bleeding,tiredness,diarrhoea"
172,Loss of libido,"the progestogen-only pill,the contraceptive implant,the Depo-Provera injection,medications for seizures (fits),medicines such as cimetidine, finasteride and cyproterone, which block the effects or reduce the production of testosterone"
173,Lung cancer,"a long-standing cough that gets worse,coughing up blood,an ache or pain when breathing or coughing,persistent tiredness or lack of energy,loss of appetite or unexplained weight loss,changes in the appearance of your fingers, such as becoming more curved or their ends becoming larger (this is known as finger clubbing),a high temperature (fever) of 38C (100.4F) or above ,wheezing,a hoarse voice ,swelling of your face or neck,persistent chest or shoulder pain,Cancer Research UK: Symptoms of lung cancer"
174,Lupus,"a fever (high temperature),hair loss (alopecia),stomach (abdominal) pain,chest pain,dry eyes,memory loss,seizures (fits),shortness of breath,ankle swelling and fluid retention (oedema)"
175,Lyme disease,"problems affecting the nervous system – such as numbness and pain in your limbs, paralysis of your facial muscles, memory problems and difficulty concentrating"
176,Lymphoedema,"an aching, heavy feeling,difficulty with movement,repeated skin infections,the skin becoming hard and tight,folds developing in the skin,wart-like growths developing on the skin,a leakage of fluid through the skin"
177,Malaria,"a high temperature (fever),headache,sweats,chills,vomiting,muscle pains,diarrhoea,generally feeling unwell"
178,Malignant brain tumour (cancerous),"persistent nausea and vomiting,drowsiness,vision problems – such as blurred vision, floaters and loss of vision that may come and go,seizures (fits) – which may affect the whole body or just involve a twitch in one area,the frontal lobe may cause changes in personality, weakness in one side of the body and loss of smell,the temporal lobe may cause forgetfulness, language problems (aphasia) and seizures,the parietal lobe may cause aphasia and numbness or weakness in one side of the body,the occipital lobe may cause loss of vision on one side,the cerebellum may cause a loss of co-ordination, flickering of the eyes, vomiting and a stiff neck"
179,Malnutrition,"feeling tired all the time and lacking energy,frequently getting infections ,taking a long time to recover from infections,delayed wound healing ,poor concentration,difficulty keeping warm,depression,failure to grow at the expected rate, both in terms of weight and height (known as ""failure to thrive""),changes in behaviour, such as being unusually irritable, sluggish or anxious,changes in hair and skin colour"
180,Measles,"a runny or blocked nose,sneezing,watery eyes,swollen eyelids,sore, red eyes that may be sensitive to light,a high temperature (fever), which may reach around 40C (104F),small greyish-white spots in the mouth (see below),aches and pains,loss of appetite,tiredness, irritability and a general lack of energy,is made up of small red-brown, flat or slightly raised spots that may join together into larger blotchy patches,usually first appears on the head or neck, before spreading outwards to the rest of the body,is unlikely to be caused by measles if the person has been fully vaccinated (had two doses of the MMR vaccine) or had measles before"
181,Meniere's disease,"vertigo – the sensation that you, or the environment around you, is moving or spinning,tinnitus – hearing sounds from inside your body, rather than from an outside source,a sense of pressure or fullness deep inside the ear,loss of balance ,dizziness and lightheadedness,headache and increased ear pressure,increased hearing loss or tinnitus,sensitivity to sound,a feeling of uneasiness"
182,Meningitis,"meningococcal bacteria – there are several different types, called A, B, C, W, X, Y and Z,pneumococcal bacteria,Haemophilus influenzae type b (Hib) bacteria,enteroviruses – viruses that usually only cause a mild stomach infection,sneezing,kissing,sharing utensils, cutlery and toothbrushes,babies and young children,teenagers and young adults,elderly people"
183,Menopause,"hot flushes – short, sudden feelings of heat, usually in the face, neck and chest, which can make your skin red and sweaty,night sweats – hot flushes that occur at night,problems with memory and concentration,vaginal dryness and pain, itching or discomfort during sex,headaches,joint stiffness, aches and pains,reduced muscle mass"
184,Mesothelioma,"chest pain,shortness of breath,fatigue (extreme tiredness),a high temperature (fever) and sweating, particularly at night,loss of appetite and unexplained weight loss,clubbed (swollen) fingertips,feeling or being sick,loss of appetite and unexplained weight loss,fluid drainage – if there's a build-up of fluid around the lungs or in the tummy, a sample may be removed using a needle inserted through the skin so the fluid can be analysed,surgery – an operation to remove the cancerous area can be done if mesothelioma is detected at a very early stage, although it's not clear whether surgery is helpful,around half (50%) of people with mesothelioma will live at least a year after diagnosis,around one in every 10 people (10%) with mesothelioma will live at least five years after diagnosis"
185,Middle ear infection (otitis media),"bulging,being an unusual colour (usually red or yellow),having a cloudy appearance,computerised tomography (CT) scan,magnetic resonance imaging (MRI) scan"
186,Migraine,"nausea,vomiting,increased sensitivity to light and sound – which is why many people with a migraine want to rest in a quiet, dark room,sweating,poor concentration,,feeling very hot or very cold,abdominal (tummy) pain,diarrhoea,visual problems – such as seeing flashing lights, zig-zag patterns or blind spots,numbness or a tingling sensation like pins and needles – which usually starts in one hand and moves up your arm before affecting your face, lips and tongue,feeling dizzy or off balance,difficulty speaking,loss of consciousness – although this is unusual,paralysis or weakness in one or both arms and/or one side of the face,slurred or garbled speech,a sudden agonising headache resulting in a blinding pain unlike anything experienced before,headache along with a high temperature (fever), stiff neck, mental confusion, seizures, double vision, and a rash"
187,Miscarriage,"you're bleeding from your vagina,you've got strong, cramping pain,your waters break,your baby's movements have changed, or you haven't felt them move for a while,problems with your placenta,cervical weakness - when your cervix (neck of your womb) starts to open,you're bleeding from your vagina,you've cramps in your lower abdomen – these can feel like bad period pains,there's fluid or tissue coming from your vagina,your breasts are no longer tender and any morning sickness has passed,you’ll probably be asked to go to the early pregnancy unit at your local hospital straight away,you’ll have some tests and usually an ultrasound scan,your body usually completes the miscarriage naturally,you're bleeding from your vagina – this can be heavy and you might have blood clots,you've strong, cramping pains,you're bleeding,your baby’s movements have changed or you haven’t felt any movements for a while.,your waters break and your baby's born very quickly,you may be asked to go to the maternity ward,you’ll have some tests and usually an ultrasound scan,you're likely to go through labour in hospital and might have your labour induced,talk to you about what will happen next,help you, and your partner if you have one, decide what you’d like to do,take sick leave,any sick pay you'd normally qualify for,take maternity leave,any maternity pay you qualify for,1 or 2 miscarriages - you're not more likely than anyone else to have another one,3 or more miscarriages - your GP can refer you to a specialist to see whether there’s a specific cause"
188,Motor neurone disease (MND),"the initial stage,the advanced stage,the end stage,a weakened grip, which can cause difficulties picking up or holding objects,weakness at the shoulder, making lifting the arm above the head difficult,tripping up over a foot because of weakness at the ankle or hip,increasing body paralysis, which means they'll need help with most daily activities,significant shortness of breath"
189,Mouth cancer,"red or white patches in the mouth or throat,a lump,ulcers,persistent pain in the mouth,changes in your voice, or speech problems,swollen lymph nodes (glands) in your neck,unexplained weight loss,bleeding or numbness in the mouth,a tooth, or teeth, that becomes loose for no obvious reason,difficulty moving your jaw"
190,Mouth ulcer,"cheeks,lips,tongue,your mouth ulcer has lasted three weeks,you keep getting mouth ulcers,applying a protective paste recommended by your pharmacist,using a soft toothbrush to brush your teeth,using a toothpaste that doesn’t contain sodium lauryl sulphate, as this may be irritating ,avoiding hard, spicy, salty, acidic or hot food and drink until the ulcer heals,using a straw to drink cool drinks,avoiding things that may be triggering your mouth ulcers – see causes, below,Antimicrobial mouthwash may speed up healing and prevent infection of the ulcer. Children under two shouldn't use this treatment. It also contains chlorexidine gluconate, which may stain teeth – but this may fade once treatment is finished. ,Painkillers are available as a mouthwash, lozenge, gel or spray. They can sting on first use and your mouth may feel numb – but this is temporary. Mouthwash can be diluted with water if stinging continues. Children under 12 shouldn’t use mouthwash or gel. Mouthwash shouldn’t be used for more than seven days in a row.,Corticosteroid lozenges may reduce pain and speed up healing. These are best used as soon as the ulcer appears, but shouldn't be used by children under 12.,smoking or using products that contain tobacco,drinking alcohol – smokers who are also heavy drinkers have a much higher risk compared to the population at large,accidentally biting the inside of your cheek or a sharp tooth,poorly fitting dentures,hard food,a defective filling,stress and anxiety ,hormonal changes – some women develop mouth ulcers during their monthly period,eating certain foods – such as chocolate, spicy foods, coffee, peanuts, almonds, strawberries, cheese, tomatoes and wheat flour,toothpaste containing sodium lauryl sulphate,stopping smoking – when you first stop smoking, you may develop mouth ulcers,Behçet’s disease – a rare and poorly understood condition that also causes swelling of the blood vessels,nicorandil – a medication sometimes used to treat angina,avoiding certain foods – such as chocolate, spicy foods, coffee, peanuts, almonds, strawberries, cheese, tomatoes and wheat flour, if they cause you to have an ulcer,not chewing gum,brushing your teeth with a soft-bristled brush, which may reduce irritation in your mouth,using toothpaste that doesn’t contain sodium lauryl sulphate"
191,Multiple myeloma,"weight loss and poor appetite,swollen ankles, feet or hands,tiredness and a lack of energy,shortness of breath,itchy skin,feeling sick"
192,Multiple sclerosis (MS),"fatigue,vision problems,numbness and tingling,muscle spasms, stiffness and weakness,mobility problems,pain,problems with thinking, learning and planning,depression and anxiety,sexual problems,bladder problems,bowel problems,speech and swallowing difficulties,some temporary loss of vision in the affected eye, usually lasting for days to weeks,colour blindness ,eye pain, which is usually worse when moving the eye,flashes of light when moving the eye,double vision,involuntary eye movements, which can make it seem as though stationary objects are jumping around,contract tightly and painfully (spasm),become stiff and resistant to movement (spasticity),feel weak,clumsiness,difficulty with balance and co-ordination (ataxia),shaking of the limbs (tremor),Pain caused by MS itself (neuropathic pain) – this is pain caused by damage to the nervous system. This may include stabbing pains in the face and a variety of sensations in the trunk and limbs, including feelings of burning, pins and needles, hugging or squeezing. Muscle spasms can sometimes be painful.,Musculoskeletal pain – back, neck and joint pain can be indirectly caused by MS, particularly for people who have problems walking or moving around that puts pressure on their lower back or hips.,problems learning and remembering new things – long-term memory is usually unaffected,slowness in processing lots of information or multi-tasking,a shortened attention span,getting stuck on words,problems with understanding and processing visual information, such as reading a map,difficulty with planning and problem solving – people often report that they know what they want to do, but can't grasp how to do it,problems with reasoning, such as mathematical laws or solving puzzles,having to pee more frequently,difficulty emptying the bladder completely,having to get up frequently during the night to pee"
193,Mumps,"headache,joint pain,feeling sick,dry mouth,mild abdominal pain,feeling tired,loss of appetite,a high temperature (fever) of 38C (100.4F), or above"
194,Nasal and sinus cancer,"a persistent blocked nose, which usually only affects one side,nosebleeds,mucus draining from the nose, which may be blood-stained,a decreased sense of smell,pain or numbness in the face,partial loss of vision or double vision,a bulging or persistently watering eye,a lump or growth on your face, nose or roof of your mouth,a nasal endoscopy – where a long, thin, flexible tube attached to a light source is inserted into your nose to examine the area,your gender – men are more likely to develop nasal and sinus cancer than women,prolonged exposure to certain substances through your work, including wood dust, leather dust, nickel, chromium and formaldehyde,human papilloma virus (HPV) – a group of viruses that affect the skin and moist membranes, such as the mouth and throat,surgery to remove a tumour – which can be performed using surgical incisions (open surgery) or as keyhole surgery through the nose (endoscopic microsurgery)"
195,Nasopharyngeal cancer,"a lump in the neck,a blocked or stuffy nose,nosebleeds,being of south Chinese or north African descent,having a diet very high in salt-cured meats and fish,having a job where you're regularly exposed to hardwood dust,having a first-degree relative, such as a parent, who's had the condition,radiotherapy – where radiation is used to kill cancer cells,chemotherapy – where medication is used to kill cancer cells,red and sore skin in the treatment area,feeling sick,changes to your sense of taste,hair loss,feeling sick,diarrhoea,sore mouth,tiredness"
196,Neuroblastoma,"a lump in the neck,bone pain and difficulty walking, if the bones are affected,numbness, weakness or loss of movement in the child’s lower body, if the cancer has affected the spinal cord,pale skin, bruising, bleeding and frequent infections, if the cancer has affected the bone marrow,bluish lumps in the skin and the appearance of ""black eyes"",urine analysis tests to check for certain chemicals found in the urine that are produced by neuroblastoma cells,a special type of scan involving an injection of a substance that is taken up by neuroblastoma cells anywhere in the body, called an mIBG scan,Stages 1 and 2 (L1) – the cancer is in one site and has not spread,Stage 3 (L2) – the cancer has spread to local structures, but not to distant parts of the body,Stage 4 (M) – the cancer has spread to distant parts of the body,Stage 4s (Ms) – this special stage is for tumours diagnosed in babies under the age of 12 months; although it may have spread to other parts of the body, the outlook is fairly good, because it can get better on its own"
197,Neuroblastoma: Children,"‘Neuro’ means nerve,‘Blast’ means cells in early development,‘Oma’ means a group of cells, or a tumour,If the tumour is in the abdomen, your child’s tummy may be swollen and they may complain of constipation or have difficulty passing urine,If the tumour affects the chest area, your child may be breathless and have difficulty swallowing,If the tumour occurs in the neck, it’s often visible as a lump and occasionally affects breathing and swallowing,Occasionally, there are deposits of neuroblastoma in the skin that appear as small, blue-coloured lumps,If the tumour is pressing on the spinal cord, children may have weakness in the legs and walk unsteadily. If your child is not yet walking, you may notice reduced leg movements. They may also have constipation or difficulty passing urine.,Your child may be found to have high blood pressure,Very rarely, children may have jerky eye and muscle movements, and general unsteadiness associated with the neuroblastoma,feeling sick (nausea) and being sick (vomiting),diarrhoea,weight loss,hair loss,increased risk of infection,bruising and bleeding,tiredness"
198,Neuroendocrine tumours,"multiple endocrine neoplasia type 1 (MEN 1) – a rare inherited condition where tumours in the endocrine system develop, most commonly in the parathyroid glands, pituitary gland and the pancreas,neurofibrmatosis type 1 – a group of genetic conditions that cause tumours to grow along your nerves,Von Hippel-Lindau syndrome (VHL) – an inherited condition that causes blood vessels to grow abnormally,computerised tomography (CT) scans,magnetic resonance imaging (MRI) scans,positron emission tomography (PET) scans,octreotide scans – where mild radioactive liquid is injected into your veins and a special camera is used to highlight any cancerous cells,where the tumour is,how advanced your condition is,your overall health"
199,New or worsening back pain,"Bend your stronger knee and slowly raise it and your upper body to a crawling position,Move towards a chair that can be used for support,Pause for breath,Support yourself on the chair with your arms,Move your stronger leg forward from a kneeling position,Lean forward and use the chair to support you as you straighten both legs, starting with the strongest"
200,Non-Hodgkin lymphoma,"night sweats,unintentional weight loss ,a high temperature (fever),persistent itching of the skin all over the body,persistent tiredness or fatigue,an increased risk of infections"
201,Non-Hodgkin lymphoma: Children,"non-Hodgkin lymphoma,feeling sick (nausea) and vomiting,a sore mouth,a low blood count leading to an increased risk of infection, bruising and bleeding (sometimes blood and/or platelet transfusions are needed),tiredness,diarrhoea"
202,Non-alcoholic fatty liver disease (NAFLD),"simple fatty liver (steatosis) – a largely harmless build-up of fat in the liver cells that may only be diagnosed during tests carried out for another reason,non-alcoholic steatohepatitis (NASH)– a more serious form of NAFLD, where the liver has become inflamed; this is estimated to affect up to 5% of the UK population,fibrosis – where persistent inflammation causes scar tissue around the liver and nearby blood vessels, but the liver is still able to function normally,are over the age of 50,smoke,a dull or aching pain in the top right of the tummy (over the lower right side of the ribs),fatigue (extreme tiredness),unexplained weight loss,weakness"
203,Norovirus,"suddenly feeling sick,projectile vomiting,get plenty of rest.,if you feel like eating, eat plain foods, such as soup, rice, pasta and bread.,your baby or child has passed six or more watery stools in the past 24 hours, or has vomited three times or more in the past 24 hours,your baby or child is less responsive, feverish, or has pale or mottled skin,you have bloody diarrhoea,your symptoms haven't started to improve after a few days,close contact with someone with norovirus – they may breathe out small particles containing the virus that you could inhale,touching contaminated surfaces or objects – the virus can survive outside the body for several days,eating contaminated food – this can happen if an infected person doesn't wash their hands before handling food,Stay off work or school until at least 48 hours after the symptoms have passed. You should also avoid visiting anyone in hospital during this time.,Wash your hands frequently and thoroughly with soap and water, particularly after using the toilet and before preparing food. Don't rely on alcohol hand gels, as they do not kill the virus.,Disinfect any surfaces or objects that could be contaminated. It's best to use a bleach-based household cleaner.,Wash any items of clothing or bedding that could have become contaminated separately on a hot wash to ensure the virus is killed.,Don't share towels and flannels.,Flush away any infected poo or vomit in the toilet and clean the surrounding area.,Avoid eating raw, unwashed produce and only eat oysters from a reliable source, as oysters can carry norovirus."
204,Nosebleed,"picking your nose, particularly if you scratch the inside of your nose with a sharp fingernail,blowing your nose very hard,a minor injury to your nose,sinusitis – an infection of the small, air-filled cavities inside your cheekbones and forehead,dry air or an increase in temperature drying out the inside of your nose,high altitude,a crooked nose that's either present from birth (congenital) or the result of an injury (a deviated septum),a broken nose,recent nasal surgery,hardened arteries (atherosclerosis),a tumour in the nasal cavity,a blood clotting abnormality – such as haemophilia or von Willebrand disease,hereditary haemorrhagic telangiectasia (HHT) – an inherited genetic condition that affects the blood vessels"
205,Obesity,"eating large amounts of processed or fast food – that's high in fat and sugar,eating out a lot – you may be tempted to also have a starter or dessert in a restaurant, and the food can be higher in fat and sugar,eating larger portions than you need – you may be encouraged to eat too much if your friends or relatives are also eating large portions,drinking too many sugary drinks – including soft drinks and fruit juice,comfort eating – if you have low self-esteem or feel depressed, you may eat to make yourself feel better,Cushing's syndrome – a rare disorder that causes the over-production of steroid hormones"
206,Obsessive compulsive disorder (OCD),"obsession – where an unwanted, intrusive and often distressing thought, image or urge repeatedly enters your mind,anxiety – the obsession provokes a feeling of intense anxiety or distress,compulsion – repetitive behaviours or mental acts that you feel driven to perform as a result of the anxiety and distress caused by the obsession,temporary relief – the compulsive behaviour brings temporary relief from anxiety, but the obsession and anxiety soon return, causing the cycle to begin again,fear of deliberately harming yourself or others – for example, fear you may attack someone else, even though this type of behaviour disgusts you,fear of harming yourself or others by mistake or accident – for example, fear you may set the house on fire by accidentally leaving the cooker on,fear of contamination by disease, infection or an unpleasant substance,a need for symmetry or orderliness – for example, you may feel the need to ensure all the labels on the tins in your cupboard face the same way,cleaning and hand washing,checking – such as checking doors are locked, or that the gas or a tap is off,counting,ordering and arranging,hoarding,asking for reassurance,repeating words silently,extensively ""overthinking"" to ensure the feared consequence of the obsession does not occur – for example, if you fear you may act violently,thinking ""neutralising"" thoughts to counter the obsessive thoughts,avoiding places and situations that could trigger obsessive thoughts,eating disorders – conditions characterised by an abnormal attitude towards food that cause you to change your eating habits and behaviour,generalised anxiety disorder – a condition that causes you to feel anxious about a wide range of situations and issues, rather than one specific event,a hoarding disorder – a condition that involves excessively acquiring items and not being able to throw them away, resulting in unmanageable amounts of clutter"
207,Obstructive sleep apnoea,"a breathing sensor,sensors to monitor your heart rate,bands that are placed around your chest,oxygen sensors that are put on your finger,electroencephalography (EEG) – this monitors brain waves,electromyography (EMG) – this monitors muscle tone,recordings of movements in your chest and abdomen,recordings of airflow through your mouth and nose,pulse oximetry – this measures your heart rate and blood oxygen levels,electrocardiography (ECG) – this monitors your heart,mild – an AHI reading of 5 to 14 episodes an hour,moderate – an AHI reading of 15 to 30 episodes an hour,severe – an AHI reading of more than 30 episodes an hour"
208,Oesophageal cancer,"bringing up food soon after eating,loss of appetite and weight loss,persistent vomiting,pain or discomfort in your upper tummy, chest or back,hoarseness,vomiting blood or coughing up blood – although this is uncommon,swallowing difficulties,heartburn on most days for three weeks or more,any other unusual or persistent symptoms"
